Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions,log_GHG_Emissions,age,age_group,Occupancy_group
213-223 w 34th st,10001,223,WEST 34 STREET,Retail Store,Other - Mall,62937.0,2010,1,100,79.7,,,,,,40.751384,-73.991529,450.9,19.7,431.2,6.1134609164172335,14,11-20,76-100%
"212 West 35th Street, New York",10001,212,WEST 35 STREET,Other,Office,71467.0,1924,1,100,55.5,59.1,7.5,0.3,2499.7,32.43,40.751933,-73.990807,307.6,119.5,188.1,5.73204593992906,100,>50,76-100%
218 W 35th St,10001,218,WEST 35 STREET,Hotel,Hotel,222868.0,2010,1,100,28.2,,,,,,40.751985,-73.99093,519.5,133.5,386.0,6.254789888055024,14,11-20,76-100%
224 West 35th Street,10001,224,WEST 35 STREET,Office,Office,150620.0,1924,1,100,109.2,117.8,8.8,,2321.2,15.41,40.752034,-73.991053,1320.5,890.1,430.4,7.186522734044344,100,>50,76-100%
248 W 35th Street,10001,248,WEST 35 STREET,Office,Office,112609.0,1935,1,100,52.3,,8.3,0.0,21.9,0.17,40.75224,-73.99154,558.5,217.5,341.0,6.32704352775198,89,>50,76-100%
260 W 35th st.,10001,260,WEST 35 STREET,Office,Office,60000.0,1924,1,100,64.0,,,,,,40.752344,-73.991785,347.6,208.6,139.1,5.85392513308592,100,>50,76-100%
500 8th Ave,10018,500,8 AVENUE,Mixed Use Property,Other - Education,107532.0,1922,1,100,70.0,72.0,12.0,0.0,,,40.752943,-73.992904,1391.5,471.8,919.6,7.238855971801439,102,,76-100%
261 West 35th St,10001,261,WEST 35 STREET,Other,Other,105000.0,1924,1,100,66.1,70.1,8.1,0.0,,,40.752358,-73.991774,615.6,320.1,295.6,6.42422051545205,100,>50,76-100%
253 West 35th Street,10001,253,WEST 35 STREET,Office,Office,119957.0,1924,1,100,62.0,61.1,12.1,0.0,,,40.752289,-73.991612,714.6,198.1,516.5,6.573121351634565,100,>50,76-100%
247 W. 35th St.,10001,247,WEST 35 STREET,Office,Office,79230.0,1926,1,100,69.8,75.8,9.1,0.4,3257.2,33.78,40.752237,-73.991489,478.7,195.7,283.0,6.173160908508018,98,>50,76-100%
"237 West 35th Street, New York",10001,237,WEST 35 STREET,Office,Office,131750.0,1924,1,100,61.1,62.8,10.2,0.1,3144.4,20.96,40.752152,-73.991287,757.5,261.8,495.7,6.631342798788587,100,>50,76-100%
225 w 35th st,10001,225,WEST 35 STREET,Office,Office,89341.0,1924,1,100,70.0,,,,,,40.752051,-73.991042,696.0,247.1,448.9,6.546785410760524,100,>50,76-100%
"470-472 7th Avenue, New York",10123,470,7 AVENUE,Other,Office,78585.0,1924,1,100,104.7,103.4,15.9,0.3,3312.4,37.22,40.751949,-73.989941,733.6,273.2,460.4,6.599326133385567,100,>50,76-100%
"242-252 West 36th Street, New York",10018,242,WEST 36 STREET,Other,Office,175000.0,1922,1,100,44.9,45.8,8.9,0.0,1923.8,10.51,40.752811,-73.990973,715.0,186.9,528.0,6.573680166960646,102,,76-100%
260 West 36th Street,10018,260,WEST 36 STREET,Office,Office,88279.0,1907,1,100,54.0,58.3,7.9,0.0,,,40.752965,-73.991338,425.7,180.5,245.2,6.056081190193955,117,,76-100%
241 West 36th St,10018,241,WEST 36 STREET,Multifamily Housing,Multifamily Housing,78731.0,1925,1,100,44.6,,3.6,,1314.6,16.7,40.752808,-73.990923,230.5,139.1,91.3,5.444579873526289,99,>50,76-100%
229 West 36th Street,10018,229,WEST 36 STREET,Office,Office,64800.0,1921,1,100,91.1,94.8,17.2,,4297.9,33.06,40.752707,-73.990681,1023.0,305.2,717.8,6.931471805599453,103,,76-100%
C/O TORKIAN GROUP,10019,488,7 AVENUE,Other,Other,83372.0,1902,1,100,65.2,68.4,9.9,0.3,,,40.752539,-73.989515,427.6,147.6,280.0,6.060524083039477,122,,76-100%
226 West 37th Street,10018,226,WEST 37 STREET,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,87675.0,1924,1,100,38.7,38.7,1.6,0.3,726.4,8.28,40.753291,-73.990201,199.5,154.0,45.5,5.300814246746624,100,>50,76-100%
240 W 37th St,10018,240,WEST 37 STREET,Office,Office,145720.0,1904,1,95,47.3,48.6,7.1,0.0,,,40.753409,-73.990486,582.3,246.8,335.5,6.368701633759592,120,,76-100%
252 W 37TH ST,10018,252,WEST 37 STREET,Office,Office,164243.0,1926,1,60,30.7,30.0,8.8,0.0,2112.1,12.86,40.753514,-73.990728,468.3,0.1,468.2,6.151242222800372,98,>50,51-75%
540 8th Avenue,10018,540,8 AVENUE,Office,Office,235678.0,1925,1,100,90.5,95.4,10.9,0.1,8749.2,37.12,40.754211,-73.99198,1711.0,877.9,833.1,7.445417556701687,99,>50,76-100%
247 West 37th Street,10018,247,WEST 37 STREET,Office,Office,191211.0,1925,1,100,65.3,66.7,12.1,0.0,4325.9,21.03,40.753475,-73.990594,1147.1,338.6,808.6,7.045863681099767,99,>50,76-100%
241 West 37th Street,10018,241,WEST 37 STREET,Office,Office,100972.0,1913,1,100,23.9,23.4,6.9,0.0,,,40.753426,-73.990475,224.3,0.1,224.2,5.4174328474381985,111,,76-100%
237 West 37th Street,10018,237,WEST 37 STREET,Office,Office,70579.0,1922,1,100,57.0,61.4,8.5,0.0,720.5,9.73,40.75339,-73.990392,356.0,154.0,202.0,5.877735781779639,102,,76-100%
225 West 37th Street,10018,225,WEST 37 STREET,Office,Office,175565.0,1929,1,100,56.0,,6.7,0.0,,,40.753288,-73.99015,809.7,426.7,383.0,6.697898071993661,95,>50,76-100%
230 West 38th Street,10018,230,WEST 38 STREET,Office,Office,150809.0,1929,1,100,47.4,49.8,6.4,0.0,1636.7,10.42,40.753942,-73.989829,622.2,295.1,327.1,6.4348674945565385,95,>50,76-100%
246 W 38th Street,10018,246,WEST 38 STREET,Office,Office,96275.0,1922,1,100,55.6,,10.4,0.2,3876.1,40.26,40.754079,-73.990154,430.1,104.3,325.7,6.066340081753089,102,,76-100%
252 W. 38TH ST,10018,252,WEST 38 STREET,Office,Office,66073.0,1924,1,100,60.2,64.7,9.0,0.3,730.1,11.05,40.754131,-73.990276,291.4,103.8,187.6,5.678122727875623,100,>50,76-100%
256 West 38th Street,10018,256,WEST 38 STREET,Office,Office,88745.0,1924,1,100,65.4,67.5,12.5,,764.3,7.9,40.754164,-73.990356,546.3,162.0,384.2,6.304997098149872,100,>50,76-100%
262 W. 38TH ST.,10018,262,WEST 38 STREET,Office,Office,95490.0,1924,1,100,46.6,49.8,7.8,,776.6,8.13,40.754216,-73.990478,377.4,142.3,235.0,5.935951837177723,100,>50,76-100%
580 8th Avenue,10018,580,8 AVENUE,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,72679.0,1928,1,100,76.7,82.4,8.5,0.0,1002.4,13.79,40.754952,-73.991442,457.5,256.7,200.8,6.127960291696519,96,>50,76-100%
263 WEST 38TH STREET,10018,263,WEST 38 STREET,Office,Office,138439.0,1925,1,100,49.9,51.7,8.1,,2689.8,17.65,40.75423,-73.990468,644.7,241.7,403.0,6.4703349996324215,99,>50,76-100%
257 West 38,10018,257,WEST 38 STREET,Multifamily Housing,Multifamily Housing,78325.0,1927,1,100,82.9,,12.1,0.1,3471.7,44.32,40.754178,-73.990345,525.9,218.1,307.8,6.26701077721524,97,>50,76-100%
247 W 38th St,10018,247,WEST 38 STREET,Office,Other,78006.0,1924,1,100,28.5,28.5,8.3,0.0,2771.6,21.32,40.754093,-73.990143,343.4,0.1,343.4,5.841803772553575,100,>50,76-100%
360 West 55th Street,10019,840A,9 AVENUE,Multifamily Housing,Multifamily Housing,90000.0,1942,1,100,73.3,72.5,8.3,0.4,5321.6,53.22,,,504.2,235.3,268.9,6.224954390476336,82,>50,76-100%
209 West 38th Street,10018,209,WEST 38 STREET,Office,Office,129560.0,1920,1,100,67.6,68.7,10.1,0.2,2813.1,19.99,40.753769,-73.98937,748.4,285.6,462.8,6.619272886359587,104,,76-100%
214 West 39th Street,10018,214,WEST 39 STREET,Office,Office,182000.0,1910,3,100,35.6,34.1,8.3,0.1,2519.7,12.99,40.754422,-73.989049,596.6,59.8,536.8,6.392921633818608,114,,76-100%
230 W 39th Street,10018,230,WEST 39 STREET,Office,Office,59488.0,1926,1,80,69.8,71.5,5.6,0.0,,,40.754559,-73.989374,330.4,220.3,110.0,5.803326104992462,98,>50,76-100%
234 West 39th Street,10018,234,WEST 39 STREET,Office,Office,81763.0,1945,1,100,68.1,67.3,7.9,0.0,2159.9,26.42,40.754595,-73.989457,459.1,248.3,210.9,6.131443857161423,79,>50,76-100%
250 W 39th St,10018,250,WEST 39 STREET,Office,Office,207895.0,1926,1,90,11.4,,,,2762.1,13.29,40.754732,-73.989782,219.4,0.0,219.4,5.39544407727876,98,>50,76-100%
260 West 39th Street,10018,260,WEST 39 STREET,Office,Office,154100.0,1926,1,100,62.2,69.5,6.8,0.0,,,40.754817,-73.989984,832.7,469.2,363.5,6.725873625416567,98,>50,76-100%
"270 West 39th Street, New York",10018,594,8 AVENUE,Other,Office,117520.0,1925,1,100,71.7,75.4,9.9,0.4,2098.1,17.27,40.755171,-73.991283,628.5,240.3,388.2,6.444925853484402,99,>50,76-100%
257 West 39th Street,10018,257,WEST 39 STREET,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,179500.0,1925,1,100,87.4,93.4,6.8,0.7,,,40.754798,-73.98989,1061.3,641.7,419.6,6.968191647785968,99,>50,76-100%
83-53 Manton St,11435,137-02,83 AVENUE,K-12 School,K-12 School,179024.0,1931,2,100,51.4,56.0,1.5,0.5,2408.7,13.45,,,524.5,441.3,83.2,6.264350190317006,93,>50,76-100%
251 West 39th Street,10018,251,WEST 39 STREET,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,108025.0,1925,1,100,53.4,53.1,6.4,0.0,1471.8,13.62,40.754746,-73.989771,466.0,244.4,221.6,6.1463292576688975,99,>50,76-100%
231 West 39th Street,10018,231,WEST 39 STREET,Office,Office,181568.0,1906,1,100,75.2,79.6,11.2,0.0,1519.8,8.37,40.754576,-73.989363,1144.9,480.9,664.0,7.043945633432402,118,,76-100%
225 W 39th,10018,225,WEST 39 STREET,Office,Office,74000.0,1910,1,100,52.7,54.3,9.2,,1620.2,17.9,40.754523,-73.989244,406.9,142.5,264.4,6.011022046323513,114,,76-100%
218 W 40th Street,10018,218,WEST 40 STREET,Office,Office,152515.0,1923,1,100,77.2,81.0,13.7,0.3,1375.1,8.27,40.755075,-73.988684,991.0,267.8,723.1,6.899723107284872,101,,76-100%
240 West 40th Street,10018,240,WEST 40 STREET,Other,Office,137199.0,1923,1,100,88.7,91.3,16.1,0.4,4585.6,33.42,40.755265,-73.989132,952.5,237.4,715.1,6.860139425040474,101,,76-100%
250 W. 40th,10018,250,WEST 40 STREET,Office,Office,52000.0,1924,1,100,57.4,,,0.0,1104.0,19.71,40.75535,-73.989334,271.2,117.7,153.5,5.6065370902173655,100,>50,76-100%
264 W 40th St,10018,264,WEST 40 STREET,Office,Office,86098.0,1927,1,100,85.4,,,,1939.7,19.72,40.75547,-73.989616,641.2,185.8,455.5,6.464899781655413,97,>50,76-100%
108 West 15th Street,10011,103,WEST 14 STREET,Multifamily Housing,Multifamily Housing,50952.0,1950,1,100,75.8,79.6,4.2,,5693.5,95.45,40.737564,-73.997301,355.9,274.7,81.2,5.877455630496114,74,>50,76-100%
161 West 15th Street,10011,79,7 AVENUE,Multifamily Housing,Multifamily Housing,135653.0,1938,1,100,57.6,61.2,4.9,0.4,,,40.739335,-73.999105,539.4,309.3,230.1,6.292309606086044,86,>50,76-100%
"147 West 15th Street, New York",10011,147,WEST 15 STREET,Multifamily Housing,Multifamily Housing,54009.0,1985,1,100,94.1,93.8,12.5,0.0,1095.1,17.34,40.738626,-73.997694,493.9,242.9,251.0,6.204355721957841,39,31-40,76-100%
555 Sixth Avenue,10011,555,AVENUE OF THE AMER,Multifamily Housing,Multifamily Housing,126122.0,1972,1,100,91.2,90.5,10.9,,5191.2,31.28,40.73819,-73.996244,1239.9,655.5,584.4,7.123592201780574,52,>50,76-100%
160 W 16th St ,10011,91,7 AVENUE,Multifamily Housing,Multifamily Housing,63500.0,1920,1,100,68.7,73.0,5.2,0.6,3116.4,49.08,40.739604,-73.998907,277.6,170.6,107.0,5.629777061345705,104,,76-100%
101 7th Ave,10011,101,7 AVENUE,Multifamily Housing,Multifamily Housing,201901.0,1930,1,100,88.6,91.9,12.2,0.5,,,40.739966,-73.99864,1289.5,495.7,793.8,7.162785019158669,94,>50,76-100%
"121 West 17th Street, New York",10011,121,WEST 17 STREET,Multifamily Housing,Multifamily Housing,46200.0,1909,1,100,76.4,78.7,5.0,0.1,1107.9,21.76,40.739628,-73.996272,301.3,217.4,83.9,5.711419901785413,115,,76-100%
154 West 18th Street,10011,154,WEST 18 STREET,Multifamily Housing,Multifamily Housing,64416.0,1906,1,100,34.6,34.2,6.8,0.1,,,40.740493,-73.996547,179.3,36.8,142.5,5.194622130209272,118,,76-100%
151 West 17th St,10011,151,WEST 17 STREET,Multifamily Housing,Multifamily Housing,102503.0,2002,1,100,87.7,93.0,8.5,0.6,3058.4,29.46,40.739886,-73.996879,607.2,318.8,288.4,6.4105037752432645,22,21-30,76-100%
144 West 18 Street,10011,144,WEST 18 STREET,Multifamily Housing,Multifamily Housing,64000.0,1910,1,100,60.9,63.5,8.1,0.4,1877.3,29.33,40.740408,-73.996341,278.6,111.1,167.4,5.633360010359655,114,,76-100%
100 West 18th Street,10011,100,WEST 18 STREET,Multifamily Housing,Multifamily Housing,95000.0,2006,1,100,62.2,64.2,13.7,0.2,2921.1,30.75,40.740034,-73.99545,491.8,75.2,416.6,6.20010341221931,18,11-20,76-100%
166 West 18th Street,10011,166,WEST 18 STREET,Multifamily Housing,Multifamily Housing,69851.0,2008,1,100,64.3,65.7,11.8,0.3,1711.5,22.61,40.740597,-73.996788,382.0,93.1,288.9,5.948034989180646,16,11-20,76-100%
625 Avenue of the Americas,10011,615,AVENUE OF THE AMER,Office,Office,134235.0,1904,1,100,99.6,103.8,16.9,0.0,1734.9,12.92,40.739952,-73.994962,1144.1,412.8,731.3,7.043247248419294,120,,76-100%
130 West 19th Street,10011,130,WEST 19 STREET,Multifamily Housing,Multifamily Housing,123900.0,2006,1,100,36.5,37.9,7.4,0.1,,,40.740874,-73.995634,367.8,70.1,297.7,5.910254491682439,18,11-20,76-100%
"139 West 19th Street, New York",10011,139-143,WEST 19 STREET,Multifamily Housing,Multifamily Housing,58269.0,1909,1,100,54.9,58.4,4.1,0.0,1059.6,13.26,,,345.1,238.5,106.6,5.846727750641299,115,,76-100%
"111-119 West 19th Street, New York",10011,111,WEST 19 STREET,Other,Other,72000.0,1901,1,100,65.9,67.3,12.7,0.0,2527.1,15.22,40.740715,-73.995219,950.8,267.7,683.1,6.85835492868701,123,,76-100%
635 Avenue of the Americas,10017,635,AVENUE OF THE AMER,Office,Office,106941.0,1898,1,100,79.0,82.7,13.7,0.4,1411.6,13.2,40.740581,-73.994504,647.2,183.2,464.1,6.474199290707447,126,,76-100%
121West 19th Street,10011,121,WEST 19 STREET,Multifamily Housing,Multifamily Housing,121810.0,1903,1,100,72.8,75.3,10.7,0.4,,,40.740803,-73.995421,718.9,252.9,466.0,6.579112313475258,121,,76-100%
165 W 20th Street,10011,171,7 AVENUE,Multifamily Housing,Multifamily Housing,57926.0,1938,1,100,68.2,67.8,5.2,0.0,1970.4,31.7,40.74231,-73.996936,333.8,228.6,105.2,5.81353333861532,86,>50,76-100%
155 West 20th Street,10011,147,WEST 20 STREET,Multifamily Housing,Multifamily Housing,57605.0,1938,1,100,59.6,59.3,4.0,0.0,2116.7,36.74,40.74161,-73.995518,268.9,194.2,74.6,5.598051520023959,86,>50,76-100%
132 West 21st Street,10011,132,WEST 21 STREET,College/University,College/University,51384.0,1910,1,100,77.3,83.2,11.3,0.0,940.3,18.3,40.742065,-73.994818,957.3,146.6,810.7,6.865160881349716,114,,76-100%
121 West 20th St. ,10011,121,WEST 20 STREET,Multifamily Housing,Multifamily Housing,45849.0,1875,1,100,47.4,48.8,8.4,0.2,1725.4,26.2,40.741388,-73.994991,241.9,64.1,177.9,5.492649836008127,149,,76-100%
655 Sixth Avenue,10010,655,AVENUE OF THE AMER,Multifamily Housing,Multifamily Housing,131206.0,2005,1,100,55.9,56.4,13.1,0.0,,,40.741135,-73.9941,644.8,1.2,643.6,6.470489858324175,19,11-20,76-100%
191 7th Ave,10011,191,7 AVENUE,Multifamily Housing,Multifamily Housing,51955.0,1900,1,100,124.7,130.1,8.7,1.0,,,40.742949,-73.996467,525.3,339.9,185.3,6.265871392359733,124,,76-100%
118 W 22nd St,10011,118,WEST 22 STREET,Office,Office,82500.0,1911,1,100,55.1,54.3,9.7,0.0,1428.8,15.88,40.742562,-73.994089,426.6,143.3,283.3,6.05818817915089,113,,76-100%
150 W 22nd St,10011,150,WEST 22 STREET,Office,Office,79745.0,1910,1,100,77.8,82.0,14.4,0.0,730.1,9.16,40.742834,-73.994735,535.0,172.4,362.6,6.284134161070802,114,,76-100%
125 West 21st Street,10011,125,WEST 21 STREET,Multifamily Housing,Multifamily Housing,92813.0,2006,1,100,66.6,69.8,7.9,0.4,1906.2,20.54,40.742013,-73.994645,431.0,191.3,239.7,6.068425588244111,18,11-20,76-100%
"126 West 22nd Street, New York",10011,126,WEST 22 STREET,Multifamily Housing,Multifamily Housing,51048.0,1911,1,100,84.5,88.5,10.4,0.5,1297.9,21.89,40.742631,-73.994251,351.9,151.1,200.8,5.8661847306812245,113,,76-100%
140 West 22nd Street,10011,140,WEST 22 STREET,Multifamily Housing,Multifamily Housing,67132.0,1911,1,100,69.0,70.0,13.8,0.2,2326.4,34.65,40.742749,-73.994533,373.5,75.9,297.6,5.925591802957274,113,,76-100%
151 West 21st Street,10011,153,WEST 21 STREET,Multifamily Housing,Multifamily Housing,56378.0,2012,1,100,41.7,41.7,4.5,0.3,2384.0,42.29,40.742252,-73.995215,159.0,79.2,79.8,5.075173815233827,12,11-20,76-100%
148 W 23 Street,10011,148,WEST 23 STREET,Multifamily Housing,Multifamily Housing,127000.0,1910,1,100,64.9,67.7,6.2,0.5,5240.9,41.27,40.74349,-73.994211,547.9,289.7,258.1,6.3079162755558436,114,,76-100%
170 West 23rd Street,10011,215,7 AVENUE,Multifamily Housing,Multifamily Housing,181300.0,1973,1,100,47.1,48.9,7.7,,,,40.743726,-73.9959,694.5,0.0,694.5,6.544631011363498,51,>50,76-100%
125 West 22nd Street,10011,125,WEST 22 STREET,Multifamily Housing,Multifamily Housing,71930.0,2008,1,100,47.4,49.7,5.7,0.3,1075.4,14.95,40.742628,-73.994197,237.8,105.2,132.6,5.475626381518447,16,11-20,76-100%
133 West 22nd Street,10011,133,WEST 22 STREET,Multifamily Housing,Multifamily Housing,129326.0,2008,1,100,61.1,63.0,11.5,0.2,4614.0,35.68,40.742694,-73.99436,621.8,149.0,472.8,6.434225439959843,16,11-20,76-100%
124 West 23rd Street,10011,124,WEST 23 STREET,Multifamily Housing,Multifamily Housing,43238.0,2012,1,100,63.7,66.8,8.1,0.4,,,40.743287,-73.993724,194.3,82.1,112.2,5.274536837882633,12,11-20,76-100%
135 West 23rd Street,10011,137,WEST 23 STREET,Multifamily Housing,Multifamily Housing,158605.0,1978,1,100,83.5,88.6,7.9,0.6,7148.4,44.99,40.743402,-73.993955,877.1,474.0,403.1,6.77776048236595,46,41-50,76-100%
101 West 23rd Street,10011,101,WEST 23 STREET,Multifamily Housing,Multifamily Housing,94835.0,1958,1,100,23.6,23.6,1.2,0.0,3664.8,38.64,40.743097,-73.993226,173.0,137.2,35.9,5.159055299214529,66,>50,76-100%
148 West 24th St,10011,148,WEST 24 STREET,Office,Office,64460.0,1910,1,100,100.7,106.4,10.3,0.1,1929.0,29.93,40.744149,-73.993721,509.0,294.6,214.4,6.234410725718371,114,,76-100%
138 WEST 25TH STREET,10001,138,WEST 25 STREET,Office,Office,96000.0,1911,1,100,66.1,67.7,10.0,0.3,3714.9,38.7,40.744684,-73.993071,475.9,164.6,311.4,6.167306825304179,113,,76-100%
146 West 25th Street,10001,150,WEST 25 STREET,Office,Office,60972.9,1911,1,100,62.6,66.1,8.5,0.0,1491.0,22.41,40.744785,-73.993313,348.0,164.3,183.7,5.855071922202427,113,,76-100%
152 West 25th Street,10001,152,WEST 25 STREET,Office,Office,46280.0,1911,1,100,52.1,57.0,5.0,0.0,885.2,13.39,40.744805,-73.993352,277.0,169.7,107.3,5.627621113690637,113,,76-100%
160 East 89th Street,10128,16O,EAST 89 STREET,Multifamily Housing,Multifamily Housing,68413.0,1938,1,100,57.1,61.2,4.1,0.5,1963.0,27.49,,,257.0,162.9,94.0,5.552959584921617,86,>50,76-100%
245 Seventh Avenue,10001,245,7 AVENUE,Multifamily Housing,Multifamily Housing,63834.0,1911,1,100,95.8,100.2,13.4,0.5,1560.4,24.44,40.744802,-73.995114,440.3,170.0,270.3,6.089724916275501,113,,76-100%
159 West 25th St,10001,159,WEST 25 STREET,Office,Office,78800.0,1911,1,100,40.8,,8.6,0.0,3583.4,42.41,40.744868,-73.993464,304.2,68.2,235.9,5.720967299410302,113,,76-100%
100 West 26th Street,10001,103,WEST 25 STREET,Multifamily Housing,Multifamily Housing,263760.0,2001,1,100,85.8,89.0,8.1,0.6,9296.8,35.25,40.74439,-73.992331,1500.1,802.7,697.4,7.31395345166613,23,21-30,76-100%
"114 West 26th Street, New York",10001,114,WEST 26 STREET,Other,Office,84150.0,1970,1,100,42.4,41.9,7.8,0.0,944.0,10.28,40.745096,-73.992133,335.2,104.5,230.7,5.817706220974515,54,>50,76-100%
122 West 26th Street,10001,122,WEST 26 STREET,Office,Office,64856.0,1913,1,100,94.9,97.9,14.6,0.1,3966.7,56.06,40.745164,-73.992295,543.9,210.4,333.5,6.300602291589053,111,,76-100%
"142 West 26th Street, New York",10001,142,WEST 26 STREET,Multifamily Housing,Multifamily Housing,42422.0,1911,1,100,53.1,56.8,3.2,0.1,843.1,16.08,40.745334,-73.992703,211.0,157.7,53.3,5.356586274672012,113,,76-100%
137-139 West 25th Street,10001,137,WEST 25 STREET,Office,Office,74150.0,1910,1,100,48.9,52.5,7.8,,,,40.744681,-73.99302,340.9,133.2,207.8,5.834518296645255,114,,76-100%
150 West 26th Street,10001,146,WEST 26 STREET,Multifamily Housing,Multifamily Housing,43500.0,1922,1,100,30.9,30.8,5.9,0.1,2458.8,45.97,40.74537,-73.992782,131.3,29.5,101.8,4.88507207112091,102,,76-100%
127 West 25th Street,10001,127,WEST 25 STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,61500.0,1912,1,100,143.4,152.5,16.6,0.3,6926.0,71.04,40.744596,-73.992818,1077.0,565.2,511.8,6.982862751468942,112,,76-100%
151 West 26th Street,10001,151,WEST 26 STREET,Office,Office,179131.0,1911,1,100,67.6,69.0,12.4,0.0,,,40.745428,-73.992872,1044.1,317.0,727.2,6.951867853600458,113,,76-100%
135 WEST 26TH STREET,10001,135,WEST 26 STREET,Office,Office,53100.0,1911,1,100,26.1,25.5,7.5,,1648.7,27.03,40.745293,-73.992555,147.5,0.0,147.5,5.000584958242754,113,,76-100%
127 West 26th Street,10001,127,WEST 26 STREET,Multifamily Housing,Multifamily Housing,92970.0,1912,1,90,67.9,67.9,9.5,,8186.1,88.05,40.745225,-73.992396,524.0,245.8,278.2,6.263398262591624,112,,76-100%
"109 West 26th Street, New York",10001,109,WEST 26 STREET,Multifamily Housing,Multifamily Housing,45455.0,1985,1,100,60.9,65.7,6.3,0.4,946.7,16.25,40.745074,-73.992039,237.9,122.3,115.5,5.476045054331764,39,31-40,76-100%
"104 West 27th Street, New York",10001,104,WEST 27 STREET,Other,Office,52976.0,1950,1,100,71.2,71.6,16.9,0.0,2168.6,37.52,40.745628,-73.991479,368.7,55.6,313.1,5.912691865942586,74,>50,76-100%
"114 West 27th Street, New York",10001,114,WEST 27 STREET,Multifamily Housing,Multifamily Housing,51627.0,1970,1,100,56.6,58.5,4.8,0.0,1961.4,35.91,40.745713,-73.991685,247.5,162.9,84.5,5.5154428455366835,54,>50,76-100%
122 West 27th Street,10001,122,WEST 27 STREET,Office,Office,87969.0,1912,1,100,46.6,45.2,11.3,0.0,,,40.745782,-73.991847,492.0,61.7,430.3,6.20050917404269,112,,76-100%
144 West 27th Street,10001,144,WEST 27 STREET,Multifamily Housing,Multifamily Housing,70077.0,1911,1,100,47.7,52.1,3.1,0.4,2623.4,37.44,40.745971,-73.992295,207.1,138.2,68.9,5.338018733399589,113,,76-100%
307 7th Avenue,10001,307,7 AVENUE,Other,Other,197612.0,1926,1,100,72.6,76.2,11.1,0.0,3744.7,18.95,40.746869,-73.993616,1192.0,483.9,708.1,7.084226422097916,98,>50,76-100%
153 West 27th St,10001,153,WEST 27 STREET,Multifamily Housing,Multifamily Housing,115925.0,1912,1,90,102.1,102.1,7.6,,8182.0,70.58,40.746084,-73.992515,934.0,655.4,278.6,6.840546529288687,112,,76-100%
135 W 27th Street,10001,135,WEST 27 STREET,Office,Office,55000.0,1912,1,100,77.0,79.3,15.3,,818.5,14.88,40.745941,-73.992179,370.6,96.7,273.9,5.917818006939683,112,,76-100%
129 W 27th St,10001,129,WEST 27 STREET,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,85000.0,1910,1,100,10.8,10.9,0.4,,,,40.745894,-73.992064,71.5,60.4,11.1,4.283586561860629,114,,76-100%
121 West 27th Street,10001,121,WEST 27 STREET,Office,Office,118785.0,1910,1,100,100.3,108.4,8.1,0.0,1095.1,9.22,40.745831,-73.991916,946.4,636.1,310.3,6.8537213904896515,114,,76-100%
150 West 28th Street,10001,150,WEST 28 STREET,Office,Office,111611.3,1927,1,100,77.4,,7.4,,816.4,7.31,40.746638,-73.991963,700.4,433.4,267.0,6.5530783377060775,97,>50,76-100%
315 7th Avenue,10018,315,7 AVENUE,Multifamily Housing,Multifamily Housing,102000.0,1925,1,100,100.3,107.9,7.2,0.8,,,40.747086,-73.993457,644.4,408.0,236.5,6.4698702796178615,99,>50,76-100%
305 Seventh Avenue,10001,301,7 AVENUE,Office,Office,150000.0,1921,1,100,79.8,81.7,16.6,0.0,,,40.746707,-73.993735,1090.5,256.5,834.0,6.995308175989998,103,,76-100%
145 West 28th Street,10001,145,WEST 28 STREET,Office,Office,56500.0,1913,1,100,80.7,80.1,8.1,0.0,413.4,7.32,40.746602,-73.991829,371.3,222.4,149.0,5.919699980878671,111,,76-100%
141 W 28th Street,10001,141,WEST 28 STREET,Office,Office,56000.0,1913,1,100,76.8,79.9,10.4,,735.3,13.13,40.746567,-73.99175,359.2,170.5,188.7,5.8866594327418555,111,,76-100%
104 West 29th Street,10001,104,WEST 29 STREET,Office,Office,127658.0,1923,1,100,112.7,120.4,11.6,0.0,1014.4,7.95,40.746866,-73.990581,1163.5,683.6,479.9,7.060047089324396,101,,76-100%
128 W 29th St,10001,124,WEST 29 STREET,Hotel,Hotel,80454.0,2008,1,80,102.8,105.9,16.1,0.5,7369.0,91.59,40.747036,-73.990988,611.7,208.9,402.8,6.417875419731609,16,11-20,76-100%
134-140 West 29th Street,10001,134,WEST 29 STREET,Office,Office,107991.0,1910,1,100,47.8,47.8,9.4,,,,40.747121,-73.99119,483.0,137.4,345.6,6.182084906716632,114,,76-100%
