Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions,log_GHG_Emissions,age,age_group,Occupancy_group
3121 BRIGHTON 5TH ST,11235,3121,BRIGHTON 5 STREET,Multifamily Housing,Multifamily Housing,62280.0,1926,1,100,87.2,91.2,2.8,0.8,1893.3,30.4,40.576774,-73.962242,312.3,256.6,55.6,5.747161197958146,98,>50,76-100%
3091 Brighton 5 Sr,11235,3091,BRIGHTON 5 STREET,Multifamily Housing,Multifamily Housing,99000.0,1929,1,100,88.9,,1.3,0.9,,,40.577068,-73.962292,490.0,448.8,41.1,6.19644412779452,95,>50,76-100%
3096 Brighton 6th St,11235,3096,BRIGHTON 6 STREET,Multifamily Housing,Multifamily Housing,85520.0,1929,1,100,72.9,77.4,3.0,0.7,,,40.577079,-73.961363,366.6,283.3,83.2,5.906995390481532,95,>50,76-100%
501 Brightwater Ct,11235,501,BRIGHTWATER COURT,Multifamily Housing,Multifamily Housing,112200.0,1928,1,100,69.1,73.6,2.5,0.6,6478.5,57.74,40.575775,-73.96194,450.6,359.8,90.8,6.112796832275507,96,>50,76-100%
3152 Brighton 6th Street,11235,3152,BRIGHTON 6 STREET,Multifamily Housing,Multifamily Housing,151178.0,1929,1,100,78.3,82.3,5.7,0.6,4440.4,28.84,40.575728,-73.961137,762.4,477.3,285.1,6.6377821403111295,95,>50,76-100%
500 Brightwater Court,11235,500,BRIGHTWATER COURT,Multifamily Housing,Multifamily Housing,185174.0,1967,1,95,91.4,,5.1,0.8,9228.2,49.84,40.575745,-73.962217,1034.7,738.1,296.7,6.942832805594834,57,>50,76-100%
3145 Brighton 4 Street,11235,3145,BRIGHTON 4 STREET,Multifamily Housing,Multifamily Housing,107519.0,1929,1,100,78.5,,6.8,,9344.7,86.91,40.575586,-73.962973,549.9,312.4,237.5,6.311553304478671,95,>50,76-100%
601 BRIGHTWATER CT.,11235,601,BRIGHTWATER COURT,Multifamily Housing,Multifamily Housing,96390.0,1929,1,100,50.7,,,,,,40.575816,-73.961026,284.8,225.4,59.4,5.655292265495767,95,>50,76-100%
3115 Brighton 6th St,11235,3115,BRIGHTON 6 STREET,Multifamily Housing,Multifamily Housing,86100.0,1928,1,100,77.3,82.2,2.9,0.7,216.4,2.51,40.576708,-73.961281,387.5,308.3,79.2,5.962293169807702,96,>50,76-100%
3099 BRIGHTON 6 ST,11235,3099,BRIGHTON 6 STREET,Multifamily Housing,Multifamily Housing,106050.0,1929,1,100,54.4,54.0,2.8,0.4,5555.8,52.39,40.577007,-73.961331,348.0,250.8,97.2,5.855071922202427,95,>50,76-100%
