Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions
200 E 28th St ,10016,200,EAST 28 STREET,Multifamily Housing,Multifamily Housing,67019.0,1965,1,100,50.0,53.2,5.4,0.3,2800.0,41.78,40.741905,-73.980726,227.8,111.3,116.5
385 3rd Avenue,10016,385,3 AVENUE,Multifamily Housing,Multifamily Housing,63277.0,2006,1,100,62.0,66.0,4.0,0.5,3186.6,50.36,40.74168,-73.981058,242.8,162.1,80.7
247 East 28th Street,10016,247,EAST 28 STREET,Multifamily Housing,Multifamily Housing,114045.0,1978,1,100,69.9,71.1,1.2,0.0,5776.5,50.65,40.741273,-73.979185,608.1,565.9,42.2
229 EAST 29TH STREET,10016,229,EAST 29 STREET,Multifamily Housing,Multifamily Housing,65027.0,1940,1,100,75.0,79.3,9.0,0.5,2485.8,38.23,40.742264,-73.979621,340.8,149.8,191.0
"230 East 30th Street, New York",10016,226,EAST 30 STREET,Multifamily Housing,Multifamily Housing,99417.0,1989,1,100,72.7,71.5,7.3,0.0,4059.8,38.88,40.742882,-73.979199,609.7,357.7,252.0
200 East 30th Street,10016,425,3 AVENUE,Multifamily Housing,Multifamily Housing,67000.0,1967,1,100,84.5,89.5,8.2,0.0,7048.6,105.2,40.742986,-73.980108,455.9,276.9,178.9
250 East 30th Street,10016,250,EAST 30 STREET,Multifamily Housing,Multifamily Housing,58044.0,2003,1,100,120.2,125.2,14.1,0.8,3124.1,46.6,40.74272,-73.978806,559.6,251.9,307.8
250 East 31st Street,10016,250,EAST 31 STREET,Multifamily Housing,Multifamily Housing,50000.0,1983,1,100,57.6,60.9,6.0,0.4,2565.8,51.32,40.743326,-73.978347,194.5,97.3,97.3
200 East 32nd Street,10016,200,EAST 32 STREET,Multifamily Housing,Multifamily Housing,197252.0,1993,1,100,62.5,64.9,13.5,0.2,,,40.74429,-73.978719,1115.6,211.1,904.5
251 East 32nd Street,10016,251,EAST 32 STREET,Multifamily Housing,Multifamily Housing,141400.0,1964,1,100,120.3,119.5,7.2,1.0,7580.3,51.64,40.743957,-73.977885,1083.2,742.8,340.4
240 East 35th Street ,10016,240,EAST 35 STREET,Multifamily Housing,Multifamily Housing,93580.0,1955,1,100,79.8,85.2,5.0,0.7,4121.1,44.04,40.745818,-73.9763,462.7,308.2,154.5
222 East 35th Street,10016,222,EAST 35 STREET,Multifamily Housing,Multifamily Housing,59300.0,1942,1,100,66.7,65.9,3.8,0.0,1440.7,24.3,40.745909,-73.976517,305.1,230.9,74.1
225 East 34th Street,10016,225,EAST 34 STREET,Multifamily Housing,Multifamily Housing,206586.0,2006,1,100,60.2,62.5,12.0,0.2,8323.6,37.94,40.745294,-73.97708,1062.7,217.5,845.1
201 East 35th Street,10016,525,3 AVENUE,Multifamily Housing,Multifamily Housing,76024.0,1916,1,100,18.8,18.4,4.5,0.0,4886.7,64.28,40.74648,-73.977559,123.6,12.1,111.5
211 East 35th St,10016,211,EAST 35 STREET,Multifamily Housing,Multifamily Housing,63617.0,1929,1,100,63.4,69.9,0.8,0.7,3461.6,54.41,40.746205,-73.977173,221.4,204.5,16.9
245 East 35th Street,10016,245,EAST 35 STREET,Multifamily Housing,Multifamily Housing,84322.0,1963,1,100,85.6,,6.5,0.0,5587.9,63.27,40.745826,-73.976275,575.2,219.0,356.2
210 East 36th Street,10016,210,EAST 36 STREET,Multifamily Housing,Multifamily Housing,61839.0,1960,1,100,35.6,36.3,1.6,0.1,7591.2,122.76,40.746759,-73.976628,150.5,18.1,132.4
200 East 36th Street,10016,537,3 AVENUE,Multifamily Housing,Multifamily Housing,118007.0,1955,1,100,61.9,66.2,5.8,0.0,,,40.746804,-73.977325,577.6,13.6,564.0
201 East 37th Street,10016,561,3 AVENUE,Multifamily Housing,Multifamily Housing,83500.0,1960,1,100,35.2,34.4,4.8,,3283.2,39.32,40.747671,-73.976693,244.3,112.7,131.6
250 E 39th Street ,10016,713,2 AVENUE,Multifamily Housing,Multifamily Housing,102717.0,1955,1,100,99.7,103.8,8.0,0.8,8646.9,78.55,40.747544,-73.973885,706.9,417.7,289.2
200 East 39th Street,10016,593,3 AVENUE,Multifamily Housing,Multifamily Housing,73284.0,2013,1,100,79.6,79.6,13.3,0.3,,,40.748653,-73.975992,441.7,133.2,308.5
333 East 14th Street,10003,333,EAST 14 STREET,Multifamily Housing,Multifamily Housing,177728.0,1965,1,100,79.9,85.2,6.4,0.6,7897.9,42.64,40.731772,-73.98354,966.3,591.5,374.7
Fierman Hall,10003,313,EAST 17 STREET,Medical Office,Medical Office,156684.0,1964,1,100,47.7,47.7,14.0,,1587.4,10.13,40.734047,-73.983034,693.2,0.0,693.2
347 East 17th Street,10003,301,1 AVENUE,Multifamily Housing,Multifamily Housing,146248.0,1951,1,100,69.9,74.3,5.8,0.0,,,40.73341,-73.980923,752.6,9.9,742.7
302-306 E 20th St.,10003,304,EAST 20 STREET,Multifamily Housing,Multifamily Housing,56630.0,1948,1,100,77.0,81.6,6.2,0.6,1942.7,34.3,40.735867,-73.981926,281.2,165.2,116.0
301 East 21st Street,10010,362,2 AVENUE,Multifamily Housing,Multifamily Housing,178851.0,1930,1,100,66.4,,5.4,0.3,9332.1,50.41,40.73669,-73.981767,868.0,542.5,325.5
321 E 22nd St,10010,321,EAST 22 STREET,Multifamily Housing,Multifamily Housing,95083.0,1968,1,100,46.0,,,,5311.2,55.86,40.736934,-73.980684,295.3,147.9,147.5
"385 FIRST AVENUE, ",10010,385,1 AVENUE,Multifamily Housing,Multifamily Housing,158340.0,2002,1,100,80.3,80.3,5.3,0.6,,,40.736451,-73.978732,790.4,521.8,268.6
310/312 East 23rd Street,10011,310,EAST 23 STREET,Multifamily Housing,Multifamily Housing,161000.0,1906,1,100,56.0,58.8,5.4,0.4,6485.8,38.38,40.737628,-73.980355,631.1,330.9,300.2
334 E 26th Street,10010,334,EAST 26 STREET,Residence Hall/Dormitory,Residence Hall/Dormitory,144423.0,1985,1,100,69.8,72.1,9.7,,9230.5,63.91,40.739118,-73.977941,799.8,0.0,799.8
332 East 29th Street,10016,332,EAST 28 STREET,Multifamily Housing,Multifamily Housing,165739.0,1979,1,100,75.3,82.1,2.1,0.0,14286.5,86.2,40.740359,-73.97711,947.5,833.2,114.3
340 East 29th Street,10016,339,EAST 28 STREET,Multifamily Housing,Multifamily Housing,90000.0,2000,1,100,72.1,74.3,11.7,0.3,4025.8,44.73,40.740337,-73.977006,491.7,148.1,343.6
301 East 29th Street,10016,301,EAST 29 STREET,K-12 School,K-12 School,71000.0,2001,1,100,90.5,95.1,16.2,0.4,1430.2,20.14,40.741586,-73.978012,498.6,130.5,368.1
350 East 30th Street,10016,350,EAST 30 STREET,Multifamily Housing,Multifamily Housing,68680.0,1956,1,100,106.8,114.0,7.7,0.9,4513.7,65.72,40.741753,-73.976496,464.0,289.7,174.3
340 E 34th Street,10016,340,EAST 34 STREET,Multifamily Housing,Multifamily Housing,140000.0,1962,1,100,70.6,73.3,6.4,0.5,5175.4,34.25,40.744226,-73.974583,707.9,391.3,316.6
303 East 37th St,10016,686,2 AVENUE,Multifamily Housing,Multifamily Housing,80000.0,1941,1,100,74.3,77.3,6.3,0.0,3364.0,42.05,40.746825,-73.97438,471.9,308.8,163.1
301 East 38th Street,10016,710,2 AVENUE,Multifamily Housing,Multifamily Housing,123628.0,1930,1,100,58.8,63.3,4.2,0.5,,,40.747536,-73.973867,477.4,298.8,178.6
311 East 38th Street,10016,311,EAST 38 STREET,Multifamily Housing,Multifamily Housing,126466.0,1984,1,100,71.8,77.1,5.8,0.6,6594.6,51.93,40.747041,-73.973416,590.4,342.2,248.2
561 Seventh Ave,10018,561,7 AVENUE,Office,Office,64050.0,1926,1,100,106.8,111.1,14.8,0.1,6763.8,85.56,40.754702,-73.987501,688.5,304.6,384.0
120 West 44th Street,10036,120,WEST 44 STREET,Hotel,Hotel,99301.0,1933,1,100,93.5,96.7,9.3,0.7,12105.6,114.96,40.756461,-73.983952,657.9,341.7,316.2
145 West 45th Street,10036,145,WEST 45 STREET,Office,Office,93260.0,2000,1,100,84.0,82.8,14.4,0.3,3840.7,38.79,40.757336,-73.984017,638.9,177.9,461.0
109 W 45 ST.,10036,109,WEST 45 STREET,Hotel,Hotel,57909.0,1900,1,100,49.8,,,,,,40.757026,-73.983291,228.0,67.0,161.0
150 West 47th Street,10036,150,WEST 47 STREET,Multifamily Housing,Multifamily Housing,66182.0,1902,1,100,85.4,88.9,10.2,0.5,7010.9,105.93,40.758612,-73.983233,393.1,175.5,217.5
142 West 49th Street,10019,142,WEST 49 STREET,Hotel,Hotel,71615.0,1910,1,100,146.7,151.1,10.1,0.5,,,40.759798,-73.982172,842.5,579.5,263.0
729 Seventh Ave,10019,729,7 AVENUE,Office,Office,178208.0,1916,1,100,51.4,52.6,10.6,,,,40.760103,-73.983973,780.5,0.0,780.5
162 West 54th Street,10019,162,WEST 54 STREET,Multifamily Housing,Multifamily Housing,98606.0,1911,1,100,111.9,111.2,8.0,0.3,,,40.76333,-73.980835,822.2,564.7,257.5
"841 7 Avenue,",10019,841,7 AVENUE,Multifamily Housing,Multifamily Housing,79309.0,1923,1,100,98.8,103.8,9.2,0.7,,,40.763684,-73.981355,557.0,301.5,255.6
136 West 55th Street,10019,136,WEST 55 STREET,Hotel,Hotel,70478.0,1929,1,100,94.2,97.6,15.9,0.0,9572.1,135.82,40.76358,-73.979474,566.3,209.3,357.0
150 West 55th Street,10019,146,WEST 55 STREET,Multifamily Housing,Multifamily Housing,75600.0,1923,1,100,76.0,81.4,4.8,0.0,1881.4,24.89,40.763843,-73.980106,453.0,334.8,118.2
101 W 55th St.,10019,1361,AVENUE OF THE AMER,Multifamily Housing,Multifamily Housing,243671.0,1925,1,100,81.2,84.6,8.7,0.2,,,40.763165,-73.978048,1538.1,845.5,692.6
162 West 56th Street,10019,162,WEST 56 STREET,Multifamily Housing,Multifamily Housing,91500.0,1925,1,100,76.4,81.0,9.8,,8699.7,70.58,40.764571,-73.979893,777.3,386.4,390.9
130 West 57th Street,10019,130,WEST 57 STREET,Office,Office,45204.0,1908,1,100,68.3,68.2,6.3,,1959.4,23.58,40.76482,-73.978409,458.8,292.6,166.2
140 West 57th Street,10019,140,WEST 57 STREET,Office,Office,87438.0,1908,1,100,56.5,56.5,16.6,,4675.9,53.48,40.764952,-73.978719,458.7,0.0,458.7
119 West 57th Street,10019,119,WEST 57 STREET,Office,Office,103707.0,1926,1,100,76.4,80.8,14.1,,,,40.764655,-73.977972,724.5,0.0,724.5
101 W 57th Street,10019,1401,AVENUE OF THE AMER,Hotel,Hotel,131671.0,1924,1,100,99.9,103.7,9.8,0.3,10431.8,71.17,40.764427,-73.977131,1089.9,633.2,456.7
180 West 58th St,10019,911,7 AVENUE,Multifamily Housing,Multifamily Housing,132078.0,1907,1,100,88.0,,8.4,0.1,5949.3,41.44,40.765935,-73.979723,992.7,601.9,390.8
100 West 58th Street,10019,100,WEST 58 STREET,Multifamily Housing,Multifamily Housing,126200.0,1926,1,100,83.1,86.8,10.8,0.0,,,40.765169,-73.977138,818.8,5.6,813.2
"117 West 58th Street, New York",10019,117,WEST 58 STREET,Multifamily Housing,Multifamily Housing,68423.0,1900,1,100,93.2,,7.1,0.7,4597.5,63.05,40.76532,-73.977452,434.1,266.9,167.2
120 Central Park S.,10019,120,CENTRAL PARK SOUTH,Multifamily Housing,Multifamily Housing,131768.0,1942,1,100,47.0,50.2,3.6,0.4,,,40.766019,-73.977073,405.1,245.5,159.5
128 Central Park South,10019,128,CENTRAL PARK SOUTH,Multifamily Housing,Multifamily Housing,91121.0,1928,1,100,65.1,69.7,4.5,0.5,1808.4,18.87,40.766107,-73.977278,391.2,251.6,139.6
116 Central Park South,10019,116,CENTRAL PARK SOUTH,Multifamily Housing,Multifamily Housing,83299.0,1950,1,100,117.3,119.7,8.9,0.9,4614.7,50.63,40.765978,-73.976972,679.1,418.6,260.5
100 Central Park South,10019,1431,AVENUE OF THE AMER,Multifamily Housing,Multifamily Housing,100840.0,1918,1,100,74.6,79.1,7.1,0.0,,,40.765163,-73.9766,560.4,26.7,533.7
215 W 40th St,10018,215,WEST 40 STREET,Office,Office,61806.0,1924,1,100,71.6,77.0,7.4,0.1,1117.1,16.47,40.755056,-73.988594,384.6,226.6,157.9
220 West 41st Street,10036,220,WEST 41 STREET,Hotel,Hotel,176668.0,2013,1,100,69.2,70.3,10.2,0.4,,,40.755717,-73.98828,901.1,311.4,589.8
47-20 42 Street,11104,47-20,42 STREET,Multifamily Housing,Multifamily Housing,68134.0,1938,1,100,82.9,88.6,3.0,0.8,2167.1,31.81,,,329.2,260.8,68.4
224 West 49th Street ,10019,224,WEST 49 STREET,Hotel,Hotel,102400.0,1927,1,100,122.5,129.4,15.2,0.8,,,40.761014,-73.985052,877.0,384.6,492.4
1619 Broadway,10019,1613,BROADWAY,Office,Office,126806.0,1930,1,100,49.9,54.8,6.5,0.3,,,40.760893,-73.984449,638.1,266.5,371.6
233 West 49th Street,10019,233,WEST 49 STREET,Hotel,Hotel,63879.0,2010,1,100,102.3,104.0,15.3,0.5,5005.4,78.36,40.761102,-73.985218,482.1,166.5,315.6
47-36 36th Street,11101,47-36,36 STREET,Other,Other,113643.0,1955,1,100,48.3,54.2,4.2,0.4,222.2,1.6,,,440.2,246.4,193.8
840 8th Avenue,10019,834,8 AVENUE,Multifamily Housing,Multifamily Housing,197309.0,1920,1,100,83.4,88.8,5.2,0.7,14236.9,69.86,40.762505,-73.985936,1051.0,705.0,346.1
"260 West 52nd Street, New York",10019,260,WEST 52 STREET,Multifamily Housing,Multifamily Housing,199439.0,1987,1,100,90.6,89.8,7.3,0.6,9046.2,44.86,40.763141,-73.984257,1174.8,695.8,479.0
230 West 54th Street,10019,1701,BROADWAY,Hotel,Hotel,96921.0,1930,1,100,125.1,130.3,12.7,0.9,,,40.763781,-73.982611,831.0,420.0,411.0
254 W 54th Street,10019,254,WEST 54 STREET,Office,Office,72000.0,1926,1,100,96.6,103.4,12.6,0.3,,,40.764338,-73.983217,519.1,98.4,420.8
200 West 54th Street,10019,828,7 AVENUE,Multifamily Housing,Multifamily Housing,134167.0,1916,1,100,79.2,84.6,5.9,,8588.4,58.42,40.763177,-73.981752,919.9,638.1,281.8
205 West 54th Street,10019,203,WEST 54 STREET,Multifamily Housing,Multifamily Housing,64747.0,1903,1,100,80.2,79.9,5.6,0.0,2289.9,35.37,40.763701,-73.981665,410.4,294.3,116.1
850 7th Avenue,10019,848,7 AVENUE,Office,Office,78010.0,1901,1,100,17.2,17.2,3.1,0.1,2691.5,34.5,40.763879,-73.981239,104.4,27.0,77.4
230 West 55th Street,10019,230,WEST 55 STREET,Multifamily Housing,Multifamily Housing,167005.0,1979,1,100,105.0,111.7,10.7,0.0,,,40.764892,-73.982607,1491.3,872.6,618.7
32-33 47th Avenue,11101,32-33,47 AVENUE,Museum,Museum,70000.0,1960,1,100,9.0,9.0,2.4,0.0,,,,,56.3,3.1,53.2
205 West 57th Street,10019,205,WEST 57 STREET,Multifamily Housing,Multifamily Housing,167076.0,1885,1,100,95.4,94.9,9.2,0.2,,,40.765704,-73.980452,1273.6,757.2,516.4
202 West 58th Street,10019,202,WEST 58 STREET,K-12 School,K-12 School,49900.0,1987,1,100,70.1,73.3,8.9,0.4,1719.0,22.36,40.766352,-73.979932,380.6,159.5,221.1
