Address 1 (self-reported),Postal Code,Street Number,Street Name,Primary Property Type - Self Selected,Largest Property Use Type,Primary Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,GHG Emissions,Direct GHG Emissions,Indirect GHG Emissions
3320 Kossuth Ave,10467,3320,KOSSUTH AVENUE,Multifamily Housing,Multifamily Housing,61500.0,1931,1,100,83.6,87.8,4.0,0.7,6462.8,105.09,40.879455,-73.881968,307.3,227.6,79.8
55 East Mosholu Parkway,10467,55,E MOSHOLU PARKWAY N,Multifamily Housing,Multifamily Housing,56530.0,1924,1,100,66.5,66.6,4.9,0.0,414.6,7.33,40.879256,-73.883125,294.6,206.6,87.9
45 East Mosholu Parkway,10467,45,E MOSHOLU PARKWAY N,Multifamily Housing,Multifamily Housing,70650.0,1926,1,100,92.0,97.3,3.9,0.8,,,40.879437,-73.88323,383.5,294.3,89.2
55 East 208th Street,10467,55,EAST 208 STREET,Multifamily Housing,Multifamily Housing,54775.0,1954,1,100,27.2,25.9,5.0,0.1,2410.3,44.0,40.879634,-73.882311,117.7,27.8,89.9
33-35 East 208 St,10467,35,EAST 208 STREET,Multifamily Housing,Multifamily Housing,67666.0,1925,1,100,103.2,,3.1,,693.1,10.24,40.880041,-73.882538,492.2,425.4,66.9
3424 Dekalb Ave,10467,3424,DEKALB AVENUE,Multifamily Housing,Multifamily Housing,71500.0,1926,1,100,101.3,101.0,3.7,,,,40.880756,-73.882096,561.5,476.7,84.8
3433 Dekalb Ave,10467,3433,DEKALB AVENUE,Multifamily Housing,Multifamily Housing,93712.0,1927,1,100,34.5,34.3,3.9,0.1,6196.3,66.12,40.880899,-73.881951,252.9,133.7,119.2
3407-09 DeKalb Ave,10467,3407,DEKALB AVENUE,Multifamily Housing,Multifamily Housing,53000.0,1926,1,100,69.5,69.2,3.4,0.6,5445.2,102.74,40.880521,-73.882414,220.8,161.9,58.9
3521 Dekalb Avenue,10467,3521,DEKALB AVENUE,Multifamily Housing,Multifamily Housing,104125.0,1928,1,100,75.0,80.5,3.0,0.1,,,40.882887,-73.879962,588.7,485.7,103.0
3504 Rochambeau Avenue,10467,3504,ROCHAMBEAU AVENUE,Multifamily Housing,Multifamily Housing,60290.0,1926,1,100,113.1,112.8,8.3,0.2,5817.0,96.48,40.881912,-73.879204,515.7,354.9,160.8
3530 Rochambeau Ave,10467,3530,ROCHAMBEAU AVENUE,Multifamily Housing,Multifamily Housing,81900.0,1955,1,100,66.6,71.0,3.1,0.1,5026.9,61.38,40.882337,-73.879059,412.0,329.1,82.9
3556 Rochambeau Av.,10467,3556,ROCHAMBEAU AVENUE,Multifamily Housing,Multifamily Housing,106550.0,1927,1,100,58.8,,3.0,0.1,10897.0,102.27,40.882762,-73.878913,470.9,366.2,104.7
50 East 212th Street,10467,50,EAST 212 STREET,Multifamily Housing,Multifamily Housing,51990.0,1930,1,100,66.2,66.2,3.3,0.0,,,40.883692,-73.878333,265.0,210.1,54.9
3563 Bainbridge Avenue,10467,3563,BAINBRIDGE AVENUE,Multifamily Housing,Multifamily Housing,50040.0,1966,1,100,25.2,25.7,4.2,0.1,3974.4,79.42,40.882871,-73.877918,95.5,29.0,66.6
3555 Bainbridge Avenue,10467,3555,BAINBRIDGE AVENUE,Multifamily Housing,Multifamily Housing,69615.0,1959,1,100,55.7,55.4,4.1,0.0,2392.8,34.37,40.882352,-73.878079,303.6,211.3,92.2
3520 Dekalb Ave,10467,3520,DEKALB AVENUE,Multifamily Housing,Multifamily Housing,52000.0,1927,1,100,102.5,107.7,3.6,1.0,,,40.882892,-73.879933,309.3,248.2,61.1
3572 Dekalb Avenue,10467,3572,DEKALB AVENUE,Multifamily Housing,Multifamily Housing,67000.0,1926,1,100,110.7,,4.5,,7585.2,113.21,40.884277,-73.878885,499.6,403.9,95.7
25 East 213th Street,10467,19,EAST 213 STREET,Multifamily Housing,Multifamily Housing,60290.0,1928,1,100,77.0,76.8,3.4,0.7,,,40.884815,-73.878338,274.4,209.2,65.2
414 E 204 Street,10467,414,EAST 204 STREET,Multifamily Housing,Multifamily Housing,53500.0,1928,1,100,97.2,106.5,4.2,,,,40.870664,-73.876419,405.5,331.7,73.7
385 East Mosholu Parkway North,10467,385,E MOSHOLU PARKWAY N,Multifamily Housing,Multifamily Housing,69336.0,1922,1,100,15.8,15.3,3.2,0.0,4214.0,60.78,40.87019,-73.879909,89.4,16.3,73.1
3060-3062 Decatur Avenue,10467,3060,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,52800.0,1926,1,100,9.3,9.1,2.0,0.0,6619.5,125.37,40.870993,-73.879025,40.9,6.3,34.6
3070 Hull Ave,10467,3070,HULL AVENUE,Multifamily Housing,Multifamily Housing,65333.0,1939,1,100,86.4,92.3,3.1,0.0,3508.4,53.7,40.871957,-73.878969,428.2,362.6,65.6
3055 Decatur Ave,10467,3055,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,64400.0,1937,1,100,78.0,81.6,3.7,0.0,1426.2,22.15,40.870941,-73.879155,385.9,307.0,78.9
375 East Mosholu Parkway North,10467,375,E MOSHOLU PARKWAY N,Multifamily Housing,Multifamily Housing,62118.0,1937,1,100,20.5,20.2,4.1,0.1,8450.0,136.03,40.870662,-73.880049,103.1,19.9,83.2
323 East Mosholu Parkway North,10467,323,E MOSHOLU PARKWAY N,Multifamily Housing,Multifamily Housing,61620.0,1920,1,100,108.1,115.2,4.4,1.0,7737.9,125.57,40.871942,-73.880408,393.3,301.2,92.1
333 EAST MOSHOLU PARKWAY,10467,333,E MOSHOLU PARKWAY N,Multifamily Housing,Multifamily Housing,61310.0,1923,1,100,89.8,89.6,4.1,0.1,5677.7,92.61,40.871678,-73.880333,421.0,339.4,81.6
P.O. BOX 300513,11230,309,E MOSHOLU PARKWAY N,Multifamily Housing,Multifamily Housing,75600.0,1925,1,100,80.6,80.6,3.5,0.7,3415.6,45.18,,,359.1,276.1,83.0
3155 Rochambeau Avenue,10467,3155,ROCHAMBEAU AVENUE,Multifamily Housing,Multifamily Housing,78110.0,1927,1,100,79.2,84.4,3.4,,6025.9,77.15,40.87462,-73.880396,476.5,389.2,87.3
225-27 E. Mosholu Pkwy,10467,225,E MOSHOLU PARKWAY N,Multifamily Housing,Multifamily Housing,87930.0,1925,1,100,23.0,23.0,3.5,0.1,,,40.874339,-73.881471,149.3,51.5,97.8
155-165 E. Mosholu Pkwy N,10467,155,E MOSHOLU PARKWAY N,Multifamily Housing,Multifamily Housing,106500.0,1928,1,100,73.7,80.4,3.7,0.0,8269.8,77.65,40.87606,-73.881482,609.6,482.0,127.5
3191 Rochambeau Avenue,10467,3191,ROCHAMBEAU AVENUE,Multifamily Housing,Multifamily Housing,75610.0,1927,1,100,124.5,123.9,3.9,0.0,6920.9,91.53,40.876045,-73.880596,720.9,623.7,97.3
3171 Rochambeau Avenue,10467,3171,ROCHAMBEAU AVENUE,Multifamily Housing,Multifamily Housing,50410.0,1926,1,100,125.5,132.9,3.8,0.1,,,40.875243,-73.880482,480.0,417.5,62.5
3182 Rochambeau Avenue,10467,3186,ROCHAMBEAU AVENUE,Multifamily Housing,Multifamily Housing,70000.0,1926,1,100,115.9,124.1,3.5,0.0,2924.5,41.78,40.875858,-73.880549,619.1,540.2,78.9
277 Van Cortlandt Avenue East,10467,277,VAN CORTLANDT AVE E,Multifamily Housing,Multifamily Housing,69960.0,1967,1,100,74.5,80.9,4.6,0.1,1085.6,15.52,40.876717,-73.880262,397.9,297.1,100.8
3280 Rochambeau Avenue,10467,3280,ROCHAMBEAU AVENUE,Multifamily Housing,Multifamily Housing,105070.0,1927,1,100,84.8,84.8,4.5,,10386.0,98.85,40.877404,-73.880713,698.9,550.3,148.6
3265 Bainbridge Ave,10467,3265,BAINBRIDGE AVENUE,Multifamily Housing,Multifamily Housing,70800.0,1925,1,100,52.2,57.1,2.5,0.0,3032.1,42.83,40.877337,-73.879726,285.9,228.6,57.3
3120 Bainbridge Ave,10467,3120,BAINBRIDGE AVENUE,Multifamily Housing,Multifamily Housing,71400.0,1929,1,100,89.0,95.2,4.1,0.1,,,40.874249,-73.879319,487.8,390.8,97.0
284 East 206th St,10467,284,EAST 206 STREET,Multifamily Housing,Multifamily Housing,58000.0,1929,1,100,101.3,105.5,1.0,0.1,,,40.874934,-73.878935,436.2,418.2,18.0
314 East 206 Street,10467,312,EAST 206 STREET,Multifamily Housing,Multifamily Housing,63000.0,1926,1,100,52.7,56.5,2.7,0.1,3649.0,57.92,40.87487,-73.877886,251.1,193.8,57.3
3162 Bainbridge Ave,10461,3164,BAINBRIDGE AVENUE,Multifamily Housing,Multifamily Housing,65320.0,1930,1,100,84.0,87.5,5.9,0.0,,,40.875245,-73.87948,434.4,309.6,124.8
277 E 207 Street,10467,277,EAST 207 STREET,Multifamily Housing,Multifamily Housing,82500.0,1959,1,100,73.1,73.6,3.9,,,,40.875578,-73.877433,474.3,369.7,104.6
245 E 207th St,10467,245,EAST 207 STREET,Multifamily Housing,Multifamily Housing,52000.0,1928,1,100,76.3,86.7,,,5059.8,97.3,40.875631,-73.878134,294.4,294.4,0.0
3320 Reservoir Oval East,10467,3320,RESERVOIR OVAL EAST,Multifamily Housing,Multifamily Housing,75821.0,1959,1,100,83.4,,4.9,0.1,7317.3,96.51,40.877026,-73.87606,489.5,369.6,119.8
282 Gun Hill Road,10467,282,EAST GUN HILL ROAD,Multifamily Housing,Multifamily Housing,55000.0,1925,1,100,87.2,90.2,4.8,0.7,,,40.879338,-73.874931,291.9,204.7,87.3
250 East Gun Hill Rd.,10467,250,EAST GUN HILL ROAD,Multifamily Housing,Multifamily Housing,110912.0,1925,1,100,69.8,73.7,3.7,0.6,,,40.879919,-73.876087,481.5,343.2,138.3
3400 Tryon Avenue,10467,3400,TRYON AVENUE,Multifamily Housing,Multifamily Housing,96545.0,1926,1,100,113.6,122.3,3.3,0.3,,,40.879327,-73.877079,782.4,676.4,105.9
3405 Putnam avenue,10467,3405,RESERVOIR OVAL WEST,Multifamily Housing,Multifamily Housing,55001.0,1927,1,100,116.9,122.3,4.5,1.1,73.8,1.34,40.879071,-73.876164,376.6,294.7,82.0
3400 Wayne Ave,10467,3388,WAYNE AVENUE,Multifamily Housing,Multifamily Housing,148000.0,1928,1,100,88.8,95.8,2.9,0.0,,,40.879111,-73.87777,993.6,855.6,138.0
3411 Wayne Ave,10467,3411,WAYNE AVENUE,Multifamily Housing,Multifamily Housing,115766.0,1961,1,100,95.9,101.4,11.0,0.6,,,40.879687,-73.87795,761.8,359.3,402.6
3341-45 Reservoir Oval,10468,3345,RESERVOIR OVAL WEST,Multifamily Housing,Multifamily Housing,80031.0,1925,1,100,63.5,67.3,3.1,0.6,5449.1,68.09,40.878713,-73.878082,304.0,224.0,80.0
3505 Wayne Ave.,10467,3505,WAYNE AVENUE,Multifamily Housing,Multifamily Housing,47500.0,1922,1,100,54.8,,,,,,40.8809,-73.877546,385.2,316.1,69.0
3510 Bainbridge Avenue,10467,3510,BAINBRIDGE AVENUE,Multifamily Housing,Multifamily Housing,56552.0,1926,1,100,108.0,107.5,7.3,0.8,4450.9,78.71,40.881313,-73.878395,389.1,254.7,134.4
3530 Bainbridge Ave,10467,3530,BAINBRIDGE AVENUE,Multifamily Housing,Multifamily Housing,61000.0,1959,1,100,101.6,107.3,2.1,0.2,,,40.881466,-73.878344,452.6,410.4,42.2
215 E Gun Hill Road,10467,215,EAST GUN HILL ROAD,Multifamily Housing,Multifamily Housing,135168.0,1932,1,100,83.7,83.3,4.6,0.7,,,40.880427,-73.877113,698.3,495.2,203.1
245 East Gun Hill Rd,10467,245,EAST GUN HILL ROAD,Multifamily Housing,Multifamily Housing,87606.0,1950,1,100,62.7,66.8,3.9,0.1,5475.9,62.51,40.879979,-73.87617,409.4,299.3,110.1
3520 Tryon Avenue,10467,3520,TRYON AVENUE,Multifamily Housing,Multifamily Housing,55552.0,1962,1,100,94.2,100.2,4.4,0.9,5154.6,92.79,40.880718,-73.876617,312.2,232.3,79.9
3535 Kings College Pl,10467,3535,KINGS COLLEGE PLACE,Multifamily Housing,Multifamily Housing,160000.0,1954,1,100,18.9,18.9,4.5,0.0,6287.4,39.3,40.880577,-73.875724,259.4,29.2,230.2
3158 Perry Avenue,10467,3156,PERRY AVENUE,Multifamily Housing,Multifamily Housing,55500.0,1925,1,100,90.0,98.6,3.7,,7459.3,134.4,40.873707,-73.877932,389.3,320.0,69.3
3210 Perry Ave,10467,3210,PERRY AVENUE,Multifamily Housing,Multifamily Housing,57500.0,1926,1,100,77.6,81.0,3.5,0.1,4362.8,75.88,40.874921,-73.876906,341.9,275.4,66.5
3215-17 HULL AVE,10467,3215,HULL AVENUE,Multifamily Housing,Multifamily Housing,60000.0,1925,1,100,64.7,64.4,2.7,0.3,3593.3,59.89,40.874586,-73.876104,264.5,211.9,52.6
3260 Perry Avenue,10467,3260,PERRY AVENUE,Multifamily Housing,Multifamily Housing,52800.0,1927,1,100,76.6,76.3,3.8,0.0,2921.1,55.32,40.876018,-73.876091,312.1,246.9,65.2
3288-96 PERRY AVE,10467,3288,PERRY AVENUE,Multifamily Housing,Multifamily Housing,66135.0,1927,1,100,91.0,,4.2,0.4,6481.2,98.0,40.8768,-73.87551,410.1,321.0,89.1
3349-51 HULL AVE,10467,3349,HULL AVENUE,Multifamily Housing,Multifamily Housing,63440.0,1929,1,100,101.2,,3.8,0.1,,,40.877781,-73.873842,490.9,412.2,78.8
3339 Hull Ave,10467,3339,HULL AVENUE,Multifamily Housing,Multifamily Housing,58800.0,1940,1,100,76.7,76.2,2.9,0.2,3888.9,66.14,40.877723,-73.873863,321.2,264.3,56.8
3165 Decatur Avenue,10467,3165,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,80649.0,1925,1,100,47.4,50.4,2.8,0.0,,,40.872835,-73.876487,296.9,222.2,74.8
3209 Decatur Avenue,10467,3209,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,74970.0,1959,1,100,58.4,58.6,3.6,0.1,5762.5,76.86,40.874124,-73.875367,337.4,252.3,85.1
3310 Hull Avenue,10467,3312,HULL AVENUE,Multifamily Housing,Multifamily Housing,60667.0,1927,1,100,58.5,58.1,2.8,0.0,4093.3,67.47,40.877117,-73.87419,269.4,213.0,56.4
3371-73 Decatur Avenue,10467,3371,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,61000.0,1927,1,100,83.7,83.3,4.1,0.5,,,40.877719,-73.872894,327.3,245.2,82.1
3176 Decatur Ave,10486,3176,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,58993.0,1960,1,100,80.5,84.4,6.1,0.6,2480.6,42.05,40.873032,-73.876259,376.2,185.3,190.9
3212-16 Decatur Avenue ,10467,3212,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,51250.0,1928,1,100,66.5,70.4,3.1,0.1,,,40.874203,-73.875284,249.9,197.1,52.8
375 E 205 St,10467,375,EAST 205 STREET,Multifamily Housing,Multifamily Housing,90750.0,1929,1,100,65.2,65.0,2.9,,1767.3,19.47,40.873193,-73.875405,456.5,370.9,85.6
3322 Decatur Avenue,10467,3322,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,146052.0,2009,1,100,41.5,41.1,5.7,0.2,7713.9,52.82,40.876987,-73.87321,437.2,167.2,269.9
275 E. Gun Hill Rd.,10467,275,EAST GUN HILL ROAD,Multifamily Housing,Multifamily Housing,96433.0,1931,1,100,77.0,,3.9,0.1,,,40.879456,-73.875115,569.0,445.5,123.5
323 East Gun Hill Road,10467,323,EAST GUN HILL ROAD,Multifamily Housing,Multifamily Housing,70875.0,1920,1,100,59.4,58.7,4.6,0.0,,,40.878914,-73.873713,330.7,222.6,108.0
3502 Hull Avenue,10467,3502,HULL AVENUE,Multifamily Housing,Multifamily Housing,86411.0,1928,1,100,81.4,85.7,4.7,0.7,,,40.879065,-73.873405,431.2,296.4,134.8
3536 Hull Avenue,10467,3536,HULL AVENUE,Multifamily Housing,Multifamily Housing,76525.0,1928,1,100,72.4,72.1,3.6,0.0,6921.3,90.44,40.879375,-73.873303,427.2,337.9,89.3
3539 Decatur Avenue,10467,3539,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,65342.0,1965,1,100,76.8,79.0,3.8,0.2,1978.7,30.28,40.879376,-73.872291,367.9,284.9,82.9
3525 Decatur Av.,10467,3525,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,92988.0,1931,1,100,58.7,,3.0,,8725.8,93.84,40.879228,-73.872353,411.4,319.0,92.4
3505 Decatur Avenue,10467,3501,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,85750.0,1928,1,100,86.2,86.2,4.5,0.0,,,40.878973,-73.872462,570.3,447.9,122.4
3530 DECATUR AVE,10467,3530,DECATUR AVENUE,Multifamily Housing,Multifamily Housing,77002.0,1929,1,100,84.1,87.7,4.1,0.7,7920.6,102.86,40.879286,-73.872306,387.7,285.6,102.1
415 East 204th Street,10467,415,EAST 204 STREET,Multifamily Housing,Multifamily Housing,53298.0,1935,1,100,91.4,99.3,3.7,0.0,3352.0,62.89,40.870785,-73.876505,376.6,312.2,64.4
3580 Webster Avenue,10467,3580,WEBSTER AVENUE,Multifamily Housing,Multifamily Housing,98331.0,2013,1,100,13.4,13.4,3.9,,,,40.88149,-73.870374,122.2,0.0,122.2
3600 Webster Avenue,10467,3600,WEBSTER AVENUE,Multifamily Housing,Multifamily Housing,53463.0,2011,1,100,76.0,82.7,6.1,0.6,3058.2,57.2,40.882486,-73.869887,260.2,156.2,104.1
3560 Webster Avenue,10467,3560,WEBSTER AVENUE,Multifamily Housing,Multifamily Housing,149005.0,2013,1,100,21.5,21.5,1.6,0.2,,,40.88086,-73.870646,201.7,128.1,73.6
4250 Van Cortlandt Park E,10470,4250,VAN CORTLANDT PARK E,Multifamily Housing,Multifamily Housing,61634.0,1941,1,100,70.2,69.9,8.1,0.4,1180.0,19.15,40.896533,-73.876638,298.6,138.0,160.6
4320 Van Cortlandt Park E,10470,4320,VAN CORTLANDT PARK E,Multifamily Housing,Multifamily Housing,151932.0,1958,1,100,53.0,55.4,2.6,0.0,4658.9,30.66,40.898874,-73.874073,617.0,484.7,132.3
273-277 East 239 Street,10470,273,EAST 239 STREET,Multifamily Housing,Multifamily Housing,58443.0,1920,1,100,66.5,,2.2,0.6,,,40.900199,-73.86884,224.1,182.8,41.3
360 East 234th St,10470,360,EAST 234 STREET,Multifamily Housing,Multifamily Housing,50886.0,1931,1,100,82.8,83.0,3.1,0.0,3722.0,73.14,40.89701,-73.866079,323.9,270.8,53.1
4260 Katonah Avenue,10470,4260,KATONAH AVENUE,Multifamily Housing,Multifamily Housing,110000.0,1958,1,100,100.1,109.0,4.6,0.8,4227.2,38.43,40.897335,-73.867134,674.7,511.4,163.3
4300 Martha Avenue,10470,4300,MARTHA AVENUE,Multifamily Housing,Multifamily Housing,76650.0,1942,1,100,67.3,71.9,2.8,0.0,2155.5,28.12,40.898894,-73.865022,398.4,326.4,72.0
305 East 239th Street,10470,4350,KATONAH AVENUE,Multifamily Housing,Multifamily Housing,59526.0,1927,1,100,62.6,62.3,2.9,0.5,,,40.900415,-73.867707,222.1,165.4,56.7
530 East 234th Street,10470,530,EAST 234 STREET,Multifamily Housing,Multifamily Housing,124809.0,1955,1,100,78.2,83.4,2.7,0.0,,,40.897322,-73.863221,772.7,657.2,115.5
4265 Webster Avenue ,10470,4265,WEBSTER AVENUE,Multifamily Housing,Multifamily Housing,58055.0,1955,1,100,78.5,81.7,3.6,0.7,2620.4,45.14,40.89793,-73.862482,271.0,203.3,67.6
549 East 234th Street,10470,549,EAST 234 STREET,Multifamily Housing,Multifamily Housing,61917.0,1930,1,100,63.6,63.1,4.1,0.0,2420.3,39.09,40.897352,-73.863116,306.4,222.3,84.1
4380 Vireo Avenue,10470,4380,VIREO AVENUE,Multifamily Housing,Multifamily Housing,109206.0,1958,1,100,77.1,82.7,4.0,0.7,3165.0,28.98,40.901183,-73.862761,507.3,367.0,140.3
4315 Webster Ave,10470,4315,WEBSTER AVENUE,Multifamily Housing,Multifamily Housing,61819.0,1958,1,100,105.8,116.2,4.5,0.0,2823.0,45.67,40.899615,-73.861997,503.5,414.7,88.8
4295 Webster Ave,10470,4295,WEBSTER AVENUE,Multifamily Housing,Multifamily Housing,57960.0,1957,1,100,101.3,108.3,4.8,0.0,2797.0,48.26,40.899231,-73.86211,454.8,361.7,93.2
669 White Plains Road,10473,669,WHITE PLAINS ROAD,Multifamily Housing,Multifamily Housing,50604.0,2009,1,100,73.9,79.0,7.5,0.5,3253.3,63.87,40.819107,-73.857597,252.1,129.8,122.3
700 White Plains Road,10473,700,WHITE PLAINS ROAD,Senior Care Community,Senior Care Community,91405.0,1979,1,100,134.9,132.4,9.9,1.0,8635.5,94.48,40.820261,-73.857848,786.5,478.7,307.9
955 Bronx River Ave.,10473,955,BRONX RIVER AVENUE,Self-Storage Facility,Self-Storage Facility,90660.0,2007,1,100,9.5,10.0,0.0,0.0,455.2,5.02,40.821894,-73.882467,67.7,16.1,51.6
1760 Bruckner Blvd,10473,1760,BRUCKNER BOULEVARD,Multifamily Housing,Multifamily Housing,90363.0,1962,1,100,20.4,20.4,5.9,0.0,0.0,0.0,40.824896,-73.866911,169.8,2.2,167.5
1464 Watson Ave  ,10472,1466,WATSON AVENUE,Multifamily Housing,Multifamily Housing,52800.0,1925,1,100,72.9,77.2,3.5,0.7,3532.0,66.89,40.82568,-73.881109,229.7,170.8,58.9
1484-1494 Watson Ave ,10472,1484,WATSON AVENUE,Multifamily Housing,Multifamily Housing,52800.0,1950,1,100,62.8,67.2,3.5,0.6,,,40.825811,-73.880141,201.3,142.2,59.1
1050-1080 Wheeler Ave,10472,1050,WHEELER AVENUE,Multifamily Housing,Multifamily Housing,66000.0,1950,1,100,72.9,77.4,3.4,0.7,,,40.824825,-73.879239,287.0,213.1,73.9
1071 Elder Avenue,10472,1071,ELDER AVENUE,Multifamily Housing,Multifamily Housing,74925.0,1965,1,100,102.9,,6.8,0.8,,,40.82526,-73.878411,481.0,314.2,166.8
1020 Boynton Ave.,10472,1020,BOYNTON AVENUE,Multifamily Housing,Multifamily Housing,77000.0,1931,1,100,106.9,107.1,4.5,0.9,10112.7,131.33,40.824738,-73.87731,485.4,372.9,112.5
1056 Boynton Avenue,10472,1056,BOYNTON AVENUE,Multifamily Housing,Multifamily Housing,70500.0,1939,1,100,105.9,105.9,4.3,0.9,,,40.825924,-73.877589,438.1,341.0,97.1
1491-93 Watson Avenue,10472,1491,WATSON AVENUE,Multifamily Housing,Multifamily Housing,56679.0,1939,1,100,110.8,110.3,4.8,0.9,4350.7,76.76,40.825857,-73.879931,371.7,282.8,89.0
1126-30 Evergreen Ave.,10472,1126,EVERGREEN AVENUE,Multifamily Housing,Multifamily Housing,58299.0,1939,1,100,92.5,92.1,4.6,0.8,,,40.826673,-73.880623,323.7,236.6,87.1
1160 Evergreen Ave.,10472,1160,EVERGREEN AVENUE,Multifamily Housing,Multifamily Housing,63000.0,1938,1,100,26.5,,,,,,40.827316,-73.880774,140.7,53.4,87.3
1184 Evergreen Avenue,10472,1184,EVERGREEN AVENUE,Multifamily Housing,Multifamily Housing,52754.0,1928,1,100,68.4,68.0,4.0,0.5,4869.1,92.3,40.827771,-73.880881,221.3,152.1,69.2
1105 Elder Ave,10472,1105,ELDER AVENUE,Multifamily Housing,Multifamily Housing,68640.0,1928,1,100,92.5,96.3,5.4,0.8,2779.4,40.49,40.826482,-73.878694,389.0,267.7,121.3
1105 Boynton Ave,10472,1105,BOYNTON AVENUE,Multifamily Housing,Multifamily Housing,75500.0,1935,1,100,95.1,,,,,,40.826442,-73.877733,542.6,464.6,77.9
1100 Elder Avenue,10472,1521,WATSON AVENUE,Multifamily Housing,Multifamily Housing,60023.0,1928,1,100,60.3,65.5,4.3,0.5,,,40.826056,-73.878442,227.6,145.2,82.4
1106 Boynton Ave,10472,1106,BOYNTON AVENUE,Multifamily Housing,Multifamily Housing,67800.0,1929,1,100,90.3,94.0,6.0,0.7,,,40.826294,-73.877675,382.3,248.3,134.1
1101 Manor ave,10472,1101,MANOR AVENUE,Multifamily Housing,Multifamily Housing,54000.0,1929,1,100,123.1,134.3,4.5,0.1,,,40.826446,-73.875821,501.4,423.6,77.8
1114 Ward Ave,10472,1114,WARD AVENUE,Multifamily Housing,Multifamily Housing,61090.0,1928,1,100,68.7,,1.3,,7317.0,99.81,40.826551,-73.876779,373.0,340.9,32.1
1154 Ward Ave,10472,1154,WARD AVENUE,Multifamily Housing,Multifamily Housing,99717.0,1929,1,100,72.7,,4.1,0.6,7761.4,77.83,40.827616,-73.877026,448.3,314.0,134.3
1163 Stratford Ave ,10472,1161,STRATFORD AVENUE,Multifamily Housing,Multifamily Housing,61725.0,1929,1,100,93.6,99.6,4.3,0.9,7386.3,119.66,40.828185,-73.875273,342.4,259.1,83.3
1149 Stratford Avenue,10472,1149,STRATFORD AVENUE,Multifamily Housing,Multifamily Housing,74400.0,1929,1,100,67.4,72.9,0.7,0.7,,,40.827966,-73.875222,273.4,257.4,16.0
1168-1172 Stratford Avenue,10472,1168,STRATFORD AVENUE,Multifamily Housing,Multifamily Housing,76900.0,1930,1,100,107.3,113.3,7.2,0.9,8703.9,113.18,40.828336,-73.875287,514.7,335.6,179.0
1210 Croes Avenue,10472,1220,WESTCHESTER AVENUE,Multifamily Housing,Multifamily Housing,198114.0,1964,1,100,24.0,24.0,5.2,0.1,16169.1,81.62,40.826092,-73.889115,393.5,66.4,327.1
1225-1231 White Plains Road,10472,1231,WHITE PLAINS ROAD,Multifamily Housing,Multifamily Housing,98000.0,1928,1,100,122.8,129.2,6.0,1.1,,,40.831445,-73.862052,719.4,531.6,187.8
1221 White Plains Road,10472,1221,WHITE PLAINS ROAD,Multifamily Housing,Multifamily Housing,97000.0,1928,1,100,108.0,113.9,4.6,1.0,,,40.831233,-73.861958,618.6,473.0,145.6
1255 Stratford Avenue,10472,1255,STRATFORD AVENUE,Multifamily Housing,Multifamily Housing,73260.0,1928,1,100,95.5,,4.5,0.8,8083.0,110.33,40.830857,-73.875896,417.6,310.2,107.4
1245 Stratford Avenue,10472,1245,STRATFORD AVENUE,Multifamily Housing,Multifamily Housing,73260.0,1928,1,100,93.4,,4.0,0.8,9543.5,130.27,40.830623,-73.875843,404.5,308.8,95.7
1210 Stratford Ave,10472,1210,STRATFORD AVENUE,Multifamily Housing,Multifamily Housing,63042.0,1928,1,100,69.3,74.2,0.6,0.7,,,40.82977,-73.87562,239.8,228.6,11.2
1240 Morrison Avenue,10472,1240,MORRISON AVENUE,Multifamily Housing,Multifamily Housing,161419.0,1941,1,100,75.6,75.3,4.5,0.6,1371.5,8.29,40.830664,-73.874874,767.4,527.1,240.2
1750 e 172nd st,10472,1742,EAST 172 STREET,Multifamily Housing,Multifamily Housing,128500.0,1930,1,100,120.5,,,,,,40.832584,-73.869201,884.8,739.2,145.6
1280 Commonwealth Ave,10472,1280,COMMONWEALTH AVENUE,Multifamily Housing,Multifamily Housing,68752.0,1928,1,100,78.2,83.9,5.7,0.6,,,40.832114,-73.868316,338.9,214.5,124.5
1041 Pugsley Avenue,10472,1041,PUGSLEY AVENUE,Multifamily Housing,Multifamily Housing,122370.0,1963,1,100,93.9,98.9,6.4,,8412.6,68.75,40.827716,-73.856386,905.6,641.3,264.3
